titles,category
잿더미 바라보며 갈등 불끄기  어디 장소가 없어서  비판도,Politics
     충돌 이틀만에 만나  갈등 불끄기 ,Politics
유엔  오늘    인권  점검 탈북민 강제 북송 공론화 주목,Politics
  전략공천지  인천 계양을 서울 마포을  포함,Politics
민주당   민주 미래 희망  삼색 깃발로 로고 바꾼다,Politics
한동훈   김여사  질문에  제 생각 충분히 말씀드렸다 ,Politics
서천 화재현장 전격 동행  대통령 존중 신뢰  봉합 수순,Politics
   서천시장 화재에  특별재난지역 선포 즉시 검토 ,Politics
 신평      만난다고 갈등 해소 안돼   한계 보완할 인물 많다  정치쇼 ,Politics
    개 공직유관단체  신규채용 공정성 여부  전수조사  월 착수,Politics
대구시 대형마트 공휴일 의무휴업   여 년 만에 전면 폐지 이끌어 내,Economic
 분기 은행 대출 문턱 내리고 비은행 높인다,Economic
S P     사흘째 최고가 넷플릭스 장 마감 후    급등  뉴욕증시 브리핑 ,Economic
작년 기업 자금조달  주식 회사채 늘고 CP 단기사채 감소,Economic
 중처법 강행시 사업장 폐업해야 ,Economic
일주일 만에  조원 썰물  ETF 효과 끝  비트코인   만달러 깨졌다,Economic
 엔씨소프트  TL 성과 부진 목표가   만원으로 하향  클릭 e종목 ,Economic
기대인플레    개월 만에   선 전월비     p 하락,Economic
셀트리온   우시 XDC 와 ADC 신약 개발 맞손,Economic
넷플릭스  WWE   년 중계권에  조  천억 투입    역대 최고 금액 ,Economic
에버랜드 자이언트 판다  푸바오   월 초 중국 귀환,social
    년부터 소방공무원 채용 체력시험 전면 개편 남녀 동일 기준 평가,social
폭설 강풍에 제주 공항 마비 대한항공  오후  시  분까지 결항,social
  불산 누출  공장 인근 마을 주민   명에    만원씩 배상  최종 확정,social
출생부터 초등까지 공공이 책임진다 부산형 통합돌봄 추진,social
울산 기암괴석  바다남  낙서 범인 잡혀  액운 막으려 ,social
이쑤시개 튀김 유행 튀겨 먹으면서도  먹어도 되나요 ,social
여수시  섬 주민 추가 택배비  인당 최대   만원 지원,social
 PT 받는  회원 엉덩이  주물럭  성추행 아니랍니다 ,social
 년만에 보석 석방된 쌍방울 김성태  성실히 재판에 임할 것 ,social
오늘도 매서운 출근길 한파 서울    도 춘천    도,Curture
북극발  냉동고 한파  내일도 호남 제주 폭설 주의,Curture
 한파 절정  서울 체감 영하   도 호남 제주 많은 눈,Curture
셀린 송 감독  패스트 라이브즈  아카데미 작품 각본상 후보,Curture
애플 뮤직 클래시컬 오늘 한국 출시 임윤찬 손열음 조성진 협업,Curture
유인촌   웹툰 종주국  위치 지키도록  세계적 플랫폼  키우겠다 ,Curture
한 달에 한 번만 마셔도 치명적  푹 자려면 이 음료 피해야 ,Curture
서오릉 장릉  다음 달부터 오전  시 개방,Curture
 이스라엘  인질 전원석방  개월 교전중단  제안 ,World
 트럼프  파죽지세  무섭다  년전 보다 더 저돌적이고 공격적 ,World
튀르키예  스웨덴의 나토 가입 비준  친러  헝가리만 남았다,World
멕시코 최대갑부 슬림   년간 자산    증가     조원 ,World
 바이든 경쟁자는  휴전   각종 캠페인 눈길 뉴햄프셔 경선 D   ,World
미 영  예멘 후티반군 미사일기지 추가 공습  개 표적 타격,World
크렘린궁  푸틴  월 대선 전 방북 가능성 낮아 ,World
중국 신장서 규모     지진 미 지질조사국  상당한 피해 가능성 ,World
러시아  우크라에 또 대규모 공습  최소   명 사망    명 부상 ,World
네이버  생성형 AI 광고  CLOVA for AD  테스트 시작,IT
삼성SDS  올해 사이버 보안 화두는 AI ,IT
대구 신세계백화점   삼성 갤럭시 S    시리즈 팝업행사,IT
하이브  엔터업계 첫 사내병원 설립  연습생도 이용가능,IT
  게임 강력 규제 백지화  초안 돌연 삭제,IT
전국민 AI 일상화 가속화 과기정통부  분야별 현장 소통,IT
선수 뽑으려 스카우트 파견  이젠 AI가  픽 한다,IT
 고객 목소리 업무에 즉각 반영  LGU   AI 기반 VOC 분석시스템 구축,IT
